"camera","id","secret","server","farm","exposure","aperture","iso","date-taken","focal-length","color","daily-project-active","color2"
"Sony ILCE-7","33150497190","9ea551c555","2932","3","1/125","null","2000","2017:03:17 20:53:42","null","#04c4b4","","#a87570"
"Sony ILCE-7","32778787130","e0bfbec6b9","752","1","1/160","null","200","2017:02:25 16:57:48","null","#9c8834","","#b9aca8"
"Sony ILCE-7","32058444423","4bc5986dc1","654","1","1/400","null","4000","2017:02:11 18:41:14","null","#ac5c0e","","#171410"
"Sony ILCE-7","33005164562","735df0f3ba","2946","3","1/160","null","200","2017:02:25 16:58:17","null","#b4b040","","#212121"
"Sony ILCE-7","33493047036","9ff64ab68b","2824","3","1/50","null","4000","2017:03:17 22:03:00","null","#128dbf","","#ac9493"
"Sony ILCE-7","32836794743","153d70479b","2922","3","1/800","null","400","2017:03:25 14:57:08","null","#967944","","#b2b6a1"
"Sony ILCE-7","32058387173","5ed80378ab","2901","3","1/200","null","3200","2017:02:11 19:57:10","null","#a9494c","","#c6a390"
"Sony ILCE-7","33161566995","a28d54dfe0","2921","3","1/640","null","1600","2017:02:25 13:45:06","null","#2c843c","","#8c949c"
"Sony ILCE-7","32491826880","bfe74721ac","653","1","1/200","null","3200","2017:02:11 19:54:54","null","#e77f4c","","#ca8e71"
"Sony ILCE-7","33534254265","384bb7f85b","2908","3","1/250","null","200","2017:03:17 17:47:27","null","#948044","","#bea18c"
"Sony ILCE-7","31549509683","7c3f9ecc75","321","1","1/640","8","400","2017:01:16 16:25:00","null","#0fa4f0","","#9c9793"
"Sony ILCE-7","32397988390","df1fea4b9d","495","1","1/100","1.8","800","2017:02:04 17:54:44","null","#369ac8","","#182336"
"Sony ILCE-7","32321571126","fffc812769","301","1","1/400","5","500","2017:01:16 17:10:06","null","#9c388c","","#b6a89a"
"Sony ILCE-7","31934996444","ac285f3148","603","1","1/400","7.1","100","2017:02:04 16:44:32","null","null","","#1d2323"
"Sony ILCE-7","31590632374","2062c667f3","584","1","1/320","1.8","1600","2017:01:19 21:52:15","null","#107d95","","#b8a5ad"
"Sony ILCE-7","32624792522","cce62949a4","731","1","1/125","9","100","2017:02:04 14:57:06","null","#c0a050","","#c0cfd7"
"Sony ILCE-7","32476693685","c8e5b5f7af","636","1","1/800","null","200","2017:01:22 13:29:18","null","#c46c54","","#c9c0be"
"Sony ILCE-7","31622073023","0dc29f37ed","450","1","1/100","14","200","2017:01:16 16:20:33","null","#ba5120","","#b25d2f"
"Sony ILCE-7","32393914986","c5d1e8f012","692","1","1/40","1.8","1600","2017:01:19 21:15:59","null","#cc9033","","#c6bbb2"
"Sony ILCE-7","33005160352","c7171c07aa","3830","4","1/320","1.8","1600","2016:12:07 19:35:11","null","#f6a960","","#d0a17e"
"Sony ILCE-7","31082996300","5f080bf8e0","5503","6","1/500","4","640","2016:12:04 16:52:19","null","null","","#989797"
"Sony ILCE-7","30645546643","7cd2cf8c13","5611","6","1/400","2.5","800","2016:12:04 17:05:51","null","#eb9070","","#26282d"
"Sony ILCE-7","30719975001","e64e5cb0f0","5683","6","1/50","1.8","1250","2016:10:27 20:24:52","null","#fcb45c","","#c48b5f"
"Sony ILCE-7","30176828274","e594aa4408","5339","6","1/125","1.8","3200","2016:10:27 18:22:24","null","#c2493c","","#c4b7b0"
"Sony ILCE-7","30298174396","f6f0f98fe3","5545","6","1/60","1.8","800","2016:10:13 18:09:58","null","#4cc4c8","","#c6c6c6"
"Sony ILCE-7","27810084793","defbf028df","7714","8","1/200","1.8","2500","2016:07:14 22:33:44","null","#d44614","","#b47aa8"
"Sony ILCE-7","28940806541","306fe2c2bf","7562","8","1/500","1.8","800","2016:07:27 19:00:08","null","#be4430","","#c7b3aa"
"Sony ILCE-7","27766291574","d1162b8f7d","8435","9","1/100","1.8","5000","2016:07:14 21:11:47","null","#b6873a","","#b58e4f"
"Sony ILCE-7","28321309952","d2a1b0288b","8220","9","1/640","1.8","5000","2016:07:14 22:14:38","null","#44bc44","","#aaaaaa"
"Sony ILCE-7","28278622082","21ab203bfe","8453","9","1/400","1.8","3200","2016:07:14 20:30:30","null","#e7851c","","#bb5265"
"Sony ILCE-7","27766913583","f5daa37ee8","8725","9","1/1/2500","1.8","3200","2016:07:14 20:30:53","null","#6c57d2","","#6c6bcd"
"Sony ILCE-7","28940816911","19efc2ced0","8182","9","1/60","1.8","6400","2016:07:14 21:08:34","null","#d48654","","#b88a65"
"Fujifilm X100T","27382940780","cbea1bc510","7537","8","1/250","5.6","200","2016:06:11 18:23:23","null","#c8a484","","#24292a"
"Sony ILCE-7","28730549990","bd319e810b","8680","9","1/500","1.8","8000","2016:07:14 20:49:39","null","#c048c4","","#121c19"
"Sony ILCE-7","27587057411","b288e81531","7611","8","1/1/1000","null","1600","2016:06:03 17:46:28","null","#bc964e","","#d8bfba"
"Sony ILCE-7","28349371096","816b693d69","7513","8","1/250","1.8","6400","2016:07:14 20:46:41","null","#1c56d5","","#af6dbf"
"Sony ILCE-7","27587048681","a61a607aa4","7184","8","1/60","null","800","2016:06:11 09:35:56","null","#8c6633","","#ccbdb0"
"Sony ILCE-7","26782662694","fb09b0c844","7448","8","1/320","9","400","2016:05:29 12:36:50","null","#715d32","","#766138"
"Sony ILCE-7","26782666394","befa9c8d48","7682","8","1/200","null","800","2016:05:26 19:05:17","null","null","","#b2b6b4"
"Sony ILCE-7","24749545422","bb6a039209","1660","2","1/100","1.8","500","2016:01:31 14:36:19","null","#517aad","","#a8b2c1"
"Sony ILCE-7","26336406771","f5e4c64d21","1626","2","1/250","2.2","640","2016:04:05 18:50:32","null","#446494","","#111826"
"Sony ILCE-7","27142082971","9307758284","7179","8","1/1/2500","1.8","800","2016:05:22 17:08:58","null","#b98859","","#ab9976"
"Sony ILCE-7","26604331294","1192e37d4b","7549","8","1/1/1600","2.2","200","2016:05:22 17:13:59","null","#d09038","","#c1b08e"
"Sony ILCE-7","27211081725","74856d58c2","7457","8","1/250","7.1","200","2016:04:24 10:10:20","null","#acc45c","","#c8b89f"
"Sony ILCE-7","26129747350","34decc413c","1521","2","1/1/1250","4","1600","2016:04:12 17:16:34","null","#4cb29f","","#dddcda"
"Sony ILCE-7","24943573359","3f4156faa9","1608","2","1/320","1.8","100","2016:02:21 16:51:12","null","#884cc0","","#37332c"
"Sony ILCE-7","23475376429","124375a7c1","653","1","1/200","1.8","3200","2015:12:11 23:12:35","null","#d9391f","","#13120a"
"Sony ILCE-7","23760813141","1e6c506dec","584","1","1/250","2.2","1600","2015:12:11 22:57:16","null","#0482c6","","#066099"
"Sony ILCE-7","23843284305","4587707205","769","1","1/100","1.8","3200","2015:12:11 23:08:21","null","#ac5018","","#ae867c"
"Sony ILCE-7","23843299325","ace1726e86","5789","6","1/160","7.1","200","2015:12:11 16:09:27","null","#b2904c","","#24251c"
"Sony ILCE-7","23760830841","1b7216b2af","690","1","1/500","3.5","200","2015:12:11 16:19:24","null","#b58c49","","#212a2f"
"Sony ILCE-7","23475383529","66106ae4fb","5696","6","1/100","1.8","3200","2015:12:11 22:35:01","null","#d23a24","","#b5867e"
"Sony ILCE-7","23547588970","264cbf2685","650","1","1/160","7.1","200","2015:12:11 16:08:05","null","#dba281","","#a5958a"
"Sony ILCE-7","23215183854","b52db3845b","5833","6","1/1/1000","1.8","200","2015:12:11 16:22:11","null","#a09c2c","","#252525"
"Sony ILCE-7","23843279905","00e14cf533","5627","6","1/160","7.1","200","2015:12:11 16:05:31","null","#189448","","#1c455b"
"Sony ILCE-7","23547627540","40c0fe637f","5812","6","1/100","1.8","800","2015:12:08 16:52:28","null","#3f3fbf","","#969db3"
"Sony ILCE-7","23734929702","a484c3392c","744","1","1/100","2.8","800","2015:12:08 16:58:24","null","#246094","","#8497a9"
"Sony ILCE-7","23817223266","b60fc06469","5623","6","1/100","3.2","200","2015:12:08 16:05:45","null","#34606d","","#b3877e"
"Sony ILCE-7","23084372965","64b6d31887","649","1","1/60","1.8","3200","2015:11:07 22:09:19","null","#dc9c4c","","#ccad98"
"Sony ILCE-7","22463126773","834dbf7e36","5706","6","1/160","1.8","3200","2015:11:07 19:45:36","null","#d88241","","#0d0d0a"
"Sony ILCE-7","22692073349","095495ac04","5739","6","1/80","1.8","1600","2015:11:07 19:21:15","null","#54a8c9","","#bb866f"
"Sony ILCE-7","23049170449","049d611ca1","5654","6","1/125","1.8","320","2015:11:21 14:56:59","null","#b17636","","#c4bc8d"
"Sony ILCE-7","23121373870","f422c81630","782","1","1/100","1.8","1600","2015:11:21 15:23:20","null","#e97723","","#cb9a6b"
"Sony ILCE-7","23334590601","407b9693bb","661","1","1/100","1.8","1600","2015:11:21 15:25:34","null","#882b16","","#0e0f0f"
"Sony ILCE-7","22789983583","cfa81d5188","5717","6","1/640","2.5","640","2015:11:29 16:26:33","null","#945c24","","#a9a096"
"Sony ILCE-7","23308673342","b83331f02d","633","1","1/125","1.8","3200","2015:11:15 23:14:04","null","#e35a48","","#dcd7df"
"Sony ILCE-7","23334600381","e8fd6432cc","669","1","1/640","4.5","800","2015:11:29 16:24:21","null","#ad9a51","","#ccd4d4"
"Sony ILCE-7","22804433501","7f414372cc","5817","6","1/125","4.5","1250","2015:10:31 10:43:52","null","#a46430","","#c0a487"
"Sony ILCE-7","21918206038","e10063d974","5830","6","1/1/3200","4.5","2000","2015:10:11 17:22:57","null","#744c2c","","#131518"
"Sony ILCE-7","24571988900","cb18d368ca","1667","2","1/60","null","1600","2015:09:26 19:46:52","null","#40b8bc","","#c3c3c3"
"Sony ILCE-7","22051917010","87eba07d37","5816","6","1/50","1.8","320","2015:10:16 19:30:39","null","#ec943c","","#c19f7b"
"Sony ILCE-7","21765538782","ca88740557","5656","6","1/250","1.8","200","2015:09:23 17:32:24","null","#bb4343","","#a6947c"
"Sony ILCE-7","21985010801","4924745607","5672","6","1/320","null","200","2015:10:04 17:53:28","null","#e86434","","#cb9178"
"Sony ILCE-7","22459461396","7723551298","705","1","1/125","2","800","2015:10:25 12:34:28","null","#c48444","","#13191c"
"Sony ILCE-7","21697251565","2c3fb8e752","776","1","1/60","4","200","2015:09:23 18:15:44","null","#f6945f","","#2d2528"
"Sony ILCE-7","20968817743","e9c8ac61e0","762","1","1/1/1250","9","400","2015:09:16 17:04:07","null","#447c94","","#c9c4c4"
"Sony ILCE-7","21643644750","e1b6387b4e","658","1","1/640","1.8","1250","2015:09:23 18:02:27","null","#a46434","","#b67e58"
"Sony ILCE-7","24867453415","85c2afe09c","1659","2","1/800","1.8","800","2015:07:31 15:38:04","null","#4cc8cc","","#1b1b1b"
"Sony ILCE-7","20052758784","aa1c5616cd","5639","6","1/125","1.8","800","2015:07:31 15:38:17","null","#98409c","","#979797"
"Sony ILCE-7","21390359762","9e9af6c418","657","1","1/400","2.8","125","2015:09:12 15:02:21","null","#9c5c3f","","#c2c5cc"
"Sony ILCE-7","21210278115","6687db410a","5745","6","1/100","3.2","400","2015:09:04 13:55:35","null","null","","#9bb2b4"
"Sony ILCE-7","21401163165","f6126b3678","5751","6","1/125","8","400","2015:09:10 09:46:16","null","#b7ad5f","","#c5b182"
"Canon EOS REBEL T3i","20488567509","85fa6845a6","572","1","1/640","1.8","200","2015:08:09 23:45:25","null","#f1590d","","#0c0f13"
"Sony ILCE-7","20997918196","8f8cfc4c6a","739","1","1/1/8000","2.5","400","2015:08:25 18:40:51","null","#c29344","","#16201b"
"Sony ILCE-7","20052762314","d55615b112","601","1","1/80","1.8","1000","2015:06:26 19:32:11","null","#84542c","","#c2c0c2"
"Sony ILCE-7","21218190351","3603e3af35","744","1","1/100","1.8","6400","2015:09:03 13:46:08","null","#4c68a4","","#8395d0"
"Sony ILCE-7","21390284962","3d9e07fc19","5808","6","1/200","1.8","100","2015:09:10 09:23:12","null","#98610f","","#b89989"
"Nikon D5000","25641710624","4cce09412b","1606","2","1/320","null","400","2015:06:16 19:44:49","null","#d048b0","","#deccb9"
"Nikon D5000","26220566036","a3caf5ce81","1567","2","1/200","null","200","2015:06:17 19:50:29","null","#d7995a","","#32291d"
"Nikon D5000","25643809733","4371065d5f","1581","2","1/640","null","400","2015:06:15 17:27:04","null","#c0946c","","#d1c8c5"
"Sony ILCE-7","18259831789","d46870bd0e","8860","9","1/100","1.8","1600","2015:05:24 18:17:51","null","#3fbfbf","","#0f1316"
"Nikon D5000","25973626620","7c9cd623e5","1692","2","1/200","null","200","2015:06:20 19:27:30","null","#ecac3c","","#2c1f1c"
"Nikon D5000","25641718024","de38590b5b","1515","2","1/200","null","200","2015:06:20 19:26:55","null","#dc4c1c","","#cc6655"
"Nikon D5000","25973615570","d479b45914","1565","2","1/500","null","200","2015:06:22 12:40:05","null","#a46844","","#283129"
"Sony ILCE-7","18258187078","96146dcaea","8861","9","1/125","2.2","800","2015:05:24 14:59:41","null","#a92324","","#b7bdc7"
"Nikon D5000","25643811453","1668d688e3","1495","2","1/1/1000","null","400","2015:06:08 17:26:30","null","#cf7434","","#d8c5ba"
