camera,id,secret,server,farm,exposure,aperture,iso,date-taken,focal-length,color,daily-project-active
Sony ILCE-7,37714586862,9cb764e593,4470,5,1/125,null,1600,2017:09:13 18:31:54,null,#c6b99f,
Sony ILCE-7,37714593442,5577bef612,4450,5,1/640,null,800,2017:09:04 14:21:29,null,#221916,
Sony ILCE-7,37746355831,e1a5e1ca61,4455,5,1/250,null,800,2017:09:04 14:04:10,null,#c4b69f,
Sony ILCE-7,23893726638,bb5c7bf41a,4465,5,1/640,null,800,2017:08:24 18:20:54,null,#a7a9b2,
Sony ILCE-7,35981394453,6b28a2d6b7,4377,5,1/640,null,800,2017:08:24 18:15:54,null,#aeb8c5,
Sony ILCE-7,36703677346,0fd1515e16,4383,5,1/250,null,800,2017:08:22 18:16:14,null,#ccc6b3,
Sony ILCE-7,36703680436,c704231e0f,4349,5,1/160,null,400,2017:08:22 16:58:13,null,#b8ab9a,
Sony ILCE-7,36004602382,ec948d574d,4319,5,1/80,null,1600,2017:07:23 17:45:08,null,#c2a289,
Sony ILCE-7,35555284723,af0563bd08,4354,5,1/400,null,400,2017:07:23 17:19:11,null,#a7a6aa,
Sony ILCE-7,35555282033,57c9712238,4337,5,1/320,null,400,2017:07:22 17:01:37,null,#c5b4a6,
Sony ILCE-7,36171334225,b1b3014cc4,4321,5,1/40,null,400,2017:07:22 12:19:09,null,#bbbbbb,
Sony ILCE-7,36130713156,86bf6a5ee3,4298,5,1/2000,null,1250,2017:07:21 14:42:48,null,#0f0f0c,
Sony ILCE-7,35640280631,bfb1a6e38c,4010,5,1/320,null,100,2017:07:03 09:10:58,null,#2b312c,
Sony ILCE-7,35731096176,633becb00c,4240,5,1/500,1.8,100,2017:07:03 08:41:44,55 mm,#989677,
Sony ILCE-7,34962026333,a86145cc45,4235,5,1/2000,1.8,200,2017:07:03 07:01:02,55 mm,#aeb9c2,
Sony ILCE-7,34931412304,68fbbabd79,4036,5,1/4000,null,100,2017:07:02 16:01:00,null,#c0c0c0,
Sony ILCE-7,35731101556,8f4e07149f,4253,5,1/160,null,100,2017:07:02 09:10:07,null,#3b4541,
Sony ILCE-7,34962031553,b11b3c1b85,4130,5,1/5000,null,160,2017:07:01 16:56:43,null,#a6bdbd,
Sony ILCE-7,35100454345,6eeb51acf8,4254,5,1/800,null,200,2017:06:03 11:22:50,null,#34341d,
Sony ILCE-7,35100220745,9537bcfaf7,4223,5,1/320,null,200,2017:06:03 11:03:51,null,#2d2d2d,
Sony ILCE-7,35100228105,fe5f0ca265,4246,5,1/50,null,400,2017:06:01 18:35:47,null,#cac8c3,
Sony ILCE-7,34586005575,2d901da21f,4189,5,1/320,null,800,2017:05:07 17:27:44,null,#323232,
Sony ILCE-7,34713996770,3aaaf3ac16,4288,5,1/100,null,800,2017:05:03 20:22:58,null,#b35b8b,
Sony ILCE-7,34423935592,a2d12e6ca8,4193,5,1/60,null,200,2017:04:29 18:48:06,null,#202e30,
Sony ILCE-7,34172143195,85d14f21b1,2813,3,1/125,null,800,2017:04:15 19:01:49,null,#b79067,
